Gene Name,"'Astrocytoma, Pilocytic' vs 'normal'.foldChange",'ependymoma' vs 'normal'.foldChange,'glioblastoma' vs 'normal'.foldChange,'medulloblastoma' vs 'normal'.foldChange
CP,2.3,3.2,1.3,0.4
KATNIP,0.2,0.9,,0.2
DTNBP1,-0.5,-0.6,-0.5,-1.1
XK,-2.6,-2.1,-2.3,-3.0
ANO2,0.5,-0.1,-0.3,0.8
C12orf4,-0.2,-0.4,-0.2,-0.1
SCML1,-0.4,0.6,0.2,-0.9
WWC3,,,0.2,-0.2
ARHGAP6,1.9,1.6,0.4,-1.1
FAM184B,0.5,0.1,0.6,0.3
MAP4,0.1,-0.3,-0.4,-0.7
GOPC,0.6,0.4,0.6,0.8
ROS1,,,0.1,-0.1
USP28,0.4,0.6,0.8,0.8
HDAC9,-0.8,-1.0,-0.6,-0.5
TSPAN17,-0.2,-0.3,-0.1,
NOP16,-0.2,-0.3,0.3,-0.3
CC2D2A,1.5,2.3,1.3,1.2
RRM2B,0.2,-0.2,-0.2,-0.8
ZNF800,-0.3,-0.1,,0.2
TNFRSF17,0.1,0.1,0.1,
SNX29,0.2,0.3,0.2,0.5
LMO3,-2.4,,-2.4,-2.0
MRPS10,-0.1,-0.2,0.1,0.1
RSF1,-0.1,-0.2,-0.4,0.4
VPS13D,-0.5,,-0.5,-0.8
CELF2,-0.5,-0.8,-0.9,-0.7
FAM120A,0.5,0.5,0.4,-0.2
R3HDM1,-1.5,-1.9,-1.2,-1.3
COL9A2,2.5,1.4,0.8,-0.9
KITLG,-0.8,0.4,-1.0,-0.2
ERCC8,1.0,0.8,0.9,0.8
ADAMTS6,1.2,1.6,1.7,1.4
H6PD,1.5,1.7,1.3,0.6
VAMP3,0.8,0.5,0.3,-0.9
PER3,,,-1.0,-0.5
UTS2,0.4,0.3,0.4,0.1
TNFRSF9,-0.2,-0.3,-0.2,-0.2
LTBP1,-0.2,2.2,0.6,0.5
RCN1,1.1,1.4,1.1,0.8
ELN,1.3,3.8,1.3,1.3
RFC2,0.4,0.5,1.2,1.1
ARID1B,0.1,-0.3,-0.2,0.5
CLPTM1L,0.6,0.8,0.8,1.1
NEDD4L,-3.6,-2.4,-2.3,-0.6
FOXP3,-0.6,-0.4,-0.5,-0.4
PPP1R3F,-1.4,-1.6,-1.5,-1.0
HEXB,1.0,0.4,1.0,
PTCD2,,0.1,-0.1,-0.5
NEXMIF,-1.1,-0.8,-1.9,0.1
JKAMP,0.4,0.6,0.2,0.8
DKK 3.00,0.2,-0.1,-0.7,-2.3
ARHGEF5,1.1,0.6,0.4,0.5
NFE2L3,0.5,0.4,1.2,2.0
MCUR1,0.1,-0.4,0.1,-0.5
LIMA1,2.1,0.5,2.2,0.3
LETMD1,-0.7,-0.4,-0.6,-0.1
SLC4A8,-0.7,-1.0,-0.8,-1.1
LAMC3,0.5,-0.1,0.2,0.6
PTGER3,-0.3,-0.2,-0.4,-0.2
MAPK9,-1.2,-1.4,-1.2,-1.0
COL23A1,-1.2,-0.4,-0.5,-0.6
BCAR1,-0.2,-0.2,-0.3,
FAM160A2,-0.5,-0.4,-0.4,-0.3
HERPUD1,,-0.1,,-0.2
HOMER3,-0.4,,0.3,-0.3
RAD51,0.5,0.8,1.7,2.2
POLQ,0.2,0.5,1.2,1.5
PIK3CB,-1.1,-1.3,-1.1,-1.4
CYBA,1.1,1.3,0.9,
HEBP2,0.8,1.1,0.7,1.1
MPHOSPH9,-0.3,-0.5,-0.1,0.6
PLEKHA5,-0.6,0.7,-0.8,-0.2
PRSS8,0.2,0.2,0.2,0.2
SIKE1,0.6,0.2,0.7,0.8
RRP12,,0.4,0.3,0.2
FNIP2,-0.7,-1.3,-0.5,-0.3
MSMO1,0.9,0.4,0.1,-0.2
TTC17,0.2,0.5,0.4,0.4
ALX4,-0.3,-0.3,-0.4,-0.2
FSTL4,-0.4,-0.4,-0.6,-0.3
FOXN3,0.1,,-0.2,0.4
AKR7A2,0.3,1.0,0.4,0.7
MRTO4,-0.2,,0.3,0.3
NNAT,-1.5,-0.1,-0.9,1.9
USE1,-0.5,-0.5,-0.4,-0.4
MCF2L2,,-0.7,-0.4,-0.4
NRIP2,-1.0,-0.9,-1.1,0.5
LAMA3,-0.5,0.6,,-0.1
AP5M1,,-0.1,-0.3,1.1
ANAPC4,0.1,0.1,0.3,0.2
KCNQ1,,-0.1,,-0.2
TRAPPC3,,0.2,-0.4,-0.4
THRAP3,0.2,0.2,0.1,0.4
ENTPD2,,0.7,-0.1,-0.4
LY75,2.1,1.0,1.5,-0.4
ARID4B,,,0.2,0.5
OPN3,-1.3,-0.8,-1.0,-1.0
SDCCAG8,-0.5,-0.7,-0.2,0.6
PTPRN,-2.3,-2.5,-1.9,-0.9
HHAT,-0.2,0.7,0.1,0.4
KIF1B,-1.3,-1.0,-1.2,-0.1
FOXC1,0.3,,,0.3
TBC1D22A,0.4,0.1,0.2,-0.2
SYNE2,1.0,1.1,0.7,2.4
PLEKHH1,-0.6,-2.5,-1.3,-1.5
ATP9A,-0.8,-1.4,-1.1,-0.4
SPO11,,-0.1,,
CBLN4,-1.1,-1.6,-1.3,-0.9
CHRDL2,0.3,1.1,0.5,
FAM168A,,-0.6,-0.5,-0.7
RELT,-0.1,-0.2,-0.1,-0.5
GALC,0.7,0.5,-0.2,-0.6
NOP58,-0.2,-0.3,0.5,0.5
SZRD1,0.4,0.5,0.6,0.3
KCNH2,-0.1,0.1,-0.1,0.6
CUL1,-0.5,-0.1,,0.3
FAM114A2,1.1,1.2,1.0,1.1
CYFIP2,-0.9,-2.2,-2.1,-1.5
TAB2,0.3,0.6,,-0.1
GINM1,1.0,0.9,0.4,0.2
EIF2AK2,0.5,0.4,0.3,
USP36,-0.2,-0.3,0.1,0.4
KMT2C,0.1,,0.3,0.5
MCOLN3,-0.2,-0.1,-0.1,-0.3
CCDC85A,-0.5,-0.2,-0.6,-0.5
PUM2,-0.7,-0.5,-0.5,0.1
MRPL43,0.4,0.2,0.1,-0.1
ITIH1,-0.1,,-0.1,-0.1
HPF1,-0.1,0.1,0.2,0.6
ZFR,-0.1,-0.2,-0.2,-0.3
ZNF280C,0.3,0.3,0.6,1.7
NPFFR2,-0.2,0.1,,0.1
PHF21B,-0.3,0.3,0.3,3.3
TRAF1,0.4,0.4,0.5,
RC3H2,-0.2,-0.5,-0.3,-0.2
IL17RB,1.3,-0.5,0.4,-0.9
TRAF3IP2,1.7,1.0,1.2,-0.2
GYG2,0.5,1.5,0.3,-0.2
DCBLD2,0.8,0.9,0.9,1.9
SERPINB3,0.1,0.1,0.2,
SOAT1,0.7,0.3,0.7,0.1
PKP2,0.3,0.7,-0.9,0.4
MSH4,-0.1,-0.2,,
F7,-0.3,-0.2,-0.2,-0.2
GDI2,0.5,0.2,0.3,0.7
PRDM1,1.2,0.3,1.1,0.2
ATG5,0.1,-0.1,0.1,0.2
TMCC3,0.9,0.7,0.1,1.4
PITHD1,-1.0,-0.8,-0.9,-0.8
MTA3,-0.7,-0.7,-1.0,-0.9
ATP11B,-0.2,0.2,0.3,0.4
LAMC2,-0.2,0.2,0.1,
CDK14,-0.5,-1.0,-0.9,-0.6
SEC61A1,1.1,0.9,1.3,0.9
PPP1R12A,0.2,-0.2,0.1,
RASGRF1,-0.3,-0.4,-0.2,-0.3
CAMK2B,-3.4,-3.0,-3.7,-3.0
CROCC,-0.2,1.0,-0.1,0.8
POLR3E,0.1,0.3,0.2,0.7
ATP2B4,0.8,0.6,0.4,-0.9
RIOK2,0.2,,0.2,0.3
YIPF1,0.1,-0.1,,-0.3
NDC1,0.1,0.4,0.7,1.1
DGKG,0.7,-1.2,-0.6,-0.9
FLYWCH1,-0.7,-0.9,-0.8,-0.7
UNKL,-0.5,-0.3,-0.5,0.3
TBXAS1,1.2,0.3,0.6,-0.3
PARP12,1.5,1.6,1.7,0.5
ALDH18A1,1.1,1.1,1.0,1.4
TARBP1,-0.3,-0.1,-0.1,0.7
GATB,-1.2,-0.7,-1.1,-1.3
MXD1,-0.7,-1.3,-0.6,-0.3
CDK17,-0.7,-0.7,-0.5,-0.2
DNAJC25,-0.3,0.6,,-0.5
SLC2A3,-0.5,-0.7,,-1.5
PSD,-1.5,-2.0,-1.5,-1.1
CTDP1,-0.3,-0.3,-0.3,-0.2
YBX3,0.9,1.2,0.9,-0.8
STYK1,-4.1,-4.1,-3.6,-4.1
WNK1,,-0.2,-0.3,-0.3
RPS17P5,0.7,0.7,0.9,1.1
CCAR1,-0.1,-0.2,-0.1,0.1
OGFR,,-0.1,,-0.2
GNA15,-0.2,-0.5,-0.3,-1.2
CREB3L3,-0.2,-0.1,-0.2,-0.3
PIGV,0.1,0.7,0.2,-0.1
PTPRU,,-0.3,-0.3,-0.2
SNRNP40,0.5,0.6,0.7,1.3
RIMBP2,-2.6,-2.9,-2.9,-3.8
COL11A1,1.9,0.1,1.2,-0.4
QSER1,0.8,0.8,0.9,1.9
MPC1,,-0.3,-0.3,-0.9
ACAA1,0.1,-0.1,-0.2,-1.0
BCAT1,1.6,-1.5,1.6,-0.2
HDAC7,0.2,,0.1,0.1
LZTS1,-0.2,-1.1,0.1,-0.2
PRDM6,-0.3,1.0,-0.3,
WNT8A,-0.2,-0.2,-0.2,-0.2
SPAG4,0.3,1.0,0.8,-0.4
NCKAP1,-0.1,,,-0.2
MRPS35,-0.3,-0.5,,
GUCY1B1,-2.0,-3.0,-2.1,-2.9
SFSWAP,0.1,,0.1,0.1
TNK2,0.6,-0.6,-0.5,-1.0
MON2,0.5,0.5,0.6,0.3
CDH3,1.5,-0.1,0.1,0.3
ARSF,-0.4,-0.5,-0.3,-0.4
GPBP1,,0.4,0.2,0.6
DGAT2,-0.6,-0.6,-0.4,-0.3
ZNF112,0.6,0.7,0.6,1.0
LTK,-0.3,-0.3,,-0.3
ELMO2,-0.3,-0.2,-0.4,-0.3
WAPL,0.1,0.2,-0.1,0.4
VMP1,0.6,0.2,0.6,
APPBP2,-0.6,-0.5,-0.6,-0.4
SEZ6,-2.2,-2.2,-1.2,0.2
EIF4B,0.4,0.4,0.3,0.6
SLC6A16,,0.7,0.1,0.8
BICRA,,,0.1,0.5
SPHK2,0.1,-0.3,-0.4,-0.4
RPL18,0.4,0.5,0.5,0.8
CA11,-1.9,-2.4,-2.8,-2.7
ISOC2,0.4,-0.2,-0.1,-0.5
U2AF2,0.4,0.6,0.7,1.1
EPN1,-0.2,-0.3,-0.1,-0.1
MED29,0.1,0.3,,-0.4
GSC2,-0.3,-0.3,-0.3,-0.3
ZNF275,0.5,0.4,0.1,
MTMR1,0.1,-0.4,0.1,0.2
GPC1,0.3,0.3,0.6,-0.6
ADCK1,-0.3,-0.6,-0.3,-0.4
HAGH,-1.1,-1.3,-1.2,-0.8
RNF4,,-0.3,0.2,0.1
CASP8,2.0,2.7,2.2,0.2
LIMCH1,-1.2,-0.4,-1.2,-1.1
INTS13,0.4,0.6,0.9,0.9
TM7SF3,1.1,0.6,0.8,-0.3
DLX3,0.2,0.2,0.2,0.5
SPA17,-0.6,2.3,0.2,-0.2
TSPAN32,0.1,-0.1,,-0.2
CCN5,-0.2,,,-0.3
DMRT3,-0.3,0.2,,-0.2
ST3GAL6,1.3,-1.1,0.2,-0.6
ATP2C2,-0.3,-0.7,-0.5,-0.2
NGFR,1.7,0.3,1.0,0.8
CDON,0.2,1.9,0.5,0.9
TAF2,,-0.1,0.3,0.6
HIPK2,0.5,,,-0.7
TNPO3,-0.4,-0.5,-0.2,-0.1
RFXANK,0.4,0.9,0.7,0.3
TMEM161A,0.5,0.5,0.5,0.4
LPAR2,0.2,0.4,0.6,2.3
CTSA,0.6,-0.2,0.4,-0.5
SUGP2,-0.7,-0.4,-0.5,
SLC12A2,-0.5,-1.2,-0.4,-0.6
SNX24,-0.3,,-0.3,-0.5
EYA2,-0.1,1.7,0.7,1.8
CNN2,0.5,0.4,0.5,0.2
ABCA7,-0.9,-0.8,-0.8,-0.6
SNCAIP,-1.3,2.0,0.7,1.6
DDX20,0.7,0.9,0.9,1.3
BTBD1,,-0.2,-0.1,-0.6
FAR2,0.5,-1.0,-0.3,-1.2
BCAS1,1.6,-2.0,-0.9,-2.4
POU1F1,,-0.1,-0.1,
CHI3L2,3.1,2.8,1.7,-0.5
SBNO2,1.1,0.4,0.5,
PMS1,0.4,0.2,0.5,0.8
HMG20B,0.7,1.5,1.4,1.0
CALCRL,2.2,1.5,1.9,0.9
TAF11,,-0.1,0.3,0.6
ANKS1A,-0.2,-0.1,-0.4,0.1
AP3D1,-0.2,-0.1,,
ZNF76,0.2,0.1,,0.3
SLC9A3R2,-0.4,-0.5,-0.8,-0.9
NTHL1,-0.3,-0.3,0.1,
UHRF1BP1,0.2,,0.4,0.8
GNAI3,0.9,1.2,1.2,1.4
IPO5,,0.4,0.1,0.8
OAT,-0.6,-0.6,-0.9,-1.6
WDR3,0.5,0.5,0.9,0.9
PKN2,0.9,0.7,0.9,1.0
WDR18,0.1,0.1,0.3,0.7
TRAM2,1.8,1.2,1.2,0.7
NTN1,3.3,1.8,1.8,0.9
GLP2R,-0.1,-0.1,-0.2,-0.1
MCM10,,0.2,1.2,1.6
DGKA,0.4,-0.4,-0.1,-0.6
ERBB3,1.7,-2.4,-0.1,-3.5
ROPN1,-0.1,0.1,0.1,
ANKRD44,1.3,-0.2,1.0,0.5
KARS1,0.3,0.4,0.6,0.6
ADAT1,0.5,0.3,0.8,0.6
PDIA5,1.1,2.5,1.6,2.0
TBC1D22B,-0.3,-0.1,-0.3,-0.1
NDUFB4,-0.2,-0.1,,
SPEN,-0.1,0.1,-0.1,0.6
MYLK,-0.9,0.5,-0.5,-2.0
ZC3H15,-0.3,-0.2,-0.1,-0.1
MAP2K4,-1.4,-1.5,-1.6,-1.4
PACC1,1.0,-0.3,0.7,0.2
SNAP91,-1.9,-3.3,-3.8,-1.6
SLK,-0.8,-0.7,-1.2,-0.7
CYB5R4,0.2,-0.4,0.3,0.4
COL17A1,-0.3,,-0.2,-0.3
GSTO2,0.3,0.5,-0.8,-1.4
SEC61A2,-0.7,-1.2,-0.7,-0.5
PRKCQ,-0.9,-1.3,-0.9,-2.1
TLE2,0.9,-1.4,0.1,1.5
ASB1,,-0.5,-0.2,-0.3
FAM107B,-0.9,,0.1,1.1
ME1,0.3,-2.2,-1.0,-2.4
TBC1D1,0.5,1.0,0.7,1.0
CDK13,0.1,,0.2,0.5
MTHFD2,1.6,0.5,1.5,1.3
SLC9A7,0.8,-1.4,-0.8,-1.1
FOXJ2,0.1,-0.1,0.1,0.2
PDE4A,-1.0,-1.4,-1.2,-2.5
PPP2R5A,-0.6,-0.4,-0.4,-1.8
CTNNA2,-1.0,-1.0,-1.5,-2.1
ELAVL1,1.2,1.6,1.6,0.7
TIE1,0.6,0.2,0.4,-0.1
DIP2B,-0.2,-0.8,-0.1,-0.2
SMARCD1,,-0.1,0.3,0.6
KDM4A,,0.3,0.2,0.6
NFYC,-0.1,-0.1,-0.2,0.2
ZMYND12,-0.3,2.0,-0.3,-0.9
SLC9A3,-0.2,,-0.3,-0.2
NGEF,-1.4,-0.9,-1.6,-2.3
ASPM,1.7,2.9,4.5,5.3
CD84,1.8,0.8,1.5,
SPI1,0.5,-0.2,-0.1,-0.6
POLR1H,-0.2,-0.2,-0.1,-0.2
MPPED2,0.1,-1.1,-0.3,-0.4
CLDN18,0.5,0.3,0.3,0.3
ZBTB11,-0.8,-0.9,-0.6,
ATXN3,-0.4,-0.6,-0.7,0.1
GOLGA5,0.4,0.2,0.3,0.4
FGFR2,-2.4,,-1.5,-2.9
LRRC40,-0.1,-0.4,-0.1,0.5
ISOC1,0.4,0.8,0.6,0.6
EML1,,0.9,0.1,-0.3
TRMT11,-0.1,-0.1,,0.3
THUMPD1,0.2,0.3,0.3,0.8
MSANTD3,0.8,0.5,1.1,1.2
KIF26A,-0.8,-0.5,-0.3,0.7
ATG2B,-0.7,-1.0,-1.0,-0.5
ARFGEF1,-0.1,-0.3,-0.1,-0.1
ACSM2B,,-0.1,-0.1,-0.1
ZFAT,0.1,,,-0.1
MTFR1,0.8,0.7,1.0,1.0
STAG3,-0.2,-0.2,0.1,0.2
FECH,,0.2,,0.4
MYO9A,-0.5,-1.0,-1.2,-1.0
DDX3Y,-2.9,-1.8,-3.1,-1.1
PFKP,-0.9,,-0.5,-1.5
IDI1,0.3,-0.2,-0.5,-0.7
SP100,1.6,1.2,1.1,-0.5
KLF6,0.9,0.3,0.6,-0.5
PLPP1,0.1,0.4,-0.4,-1.4
NEO1,0.4,0.7,0.4,0.5
TRAM1,1.1,1.3,1.1,0.4
PHKA1,0.7,0.2,0.5,-0.5
TNFRSF1A,1.5,1.1,0.7,-0.8
CACNB1,-1.0,-0.9,-1.0,-0.9
EVI5,0.9,1.2,0.3,-0.8
STOML1,-0.9,-1.4,-1.1,-1.4
PKM,0.7,0.8,0.1,0.2
DHX29,0.6,0.2,0.5,0.8
DNTTIP2,,0.1,0.1,0.2
METTL22,-0.2,-0.2,0.2,0.8
TP53BP1,-0.3,-0.4,-0.5,0.4
TRO,-0.2,-0.4,-0.2,0.4
RRP15,1.4,1.2,1.8,1.0
RHOA,0.5,0.5,0.4,0.1
DHX8,,0.2,0.4,0.8
PRKCZ,-2.2,-3.3,-2.9,-3.3
ZFY,-0.7,-0.4,-1.0,-0.1
IARS2,-0.1,0.4,0.4,0.2
SYT1,-5.3,-4.9,-3.9,-3.2
NAV3,-1.8,-2.0,-2.1,-2.5
IDH3G,-0.2,0.1,-0.3,0.1
ROGDI,-1.4,-1.8,-1.7,-0.7
PDZD4,-1.9,-1.0,-1.7,-0.8
ATP2B3,-2.1,-1.3,-1.7,-1.4
ROCK1,-0.4,-0.2,-0.4,-0.1
CBFB,1.2,0.6,1.2,0.7
PDK3,-1.3,-0.7,-1.1,-1.5
HYAL2,0.4,0.3,0.4,0.5
HDAC4,-0.6,-0.1,-0.3,-0.3
RASSF1,-0.2,-0.3,0.1,0.3
FGFR3,-1.4,-0.3,-1.6,-4.6
IFI35,1.5,1.1,1.1,-0.2
HEATR6,,0.3,0.2,0.8
COASY,-0.6,-0.1,-0.2,-0.2
PLEKHH3,-0.2,0.1,-0.1,0.2
MEF2A,-0.8,-1.2,-1.1,-1.1
OTUD5,-0.3,-0.3,-0.4,-0.4
TFE3,-0.2,-0.4,-0.4,-0.9
TBC1D25,-0.4,-0.7,-0.4,-0.3
ACSL4,-0.2,-0.5,-0.7,-0.3
INPP5A,-1.2,-0.5,-1.5,-1.4
GPKOW,0.1,0.2,-0.2,-0.2
GRIPAP1,-0.7,-1.0,-0.8,-0.4
FTSJ1,0.3,-0.1,0.6,0.5
PRR11,-0.3,-0.2,0.2,0.6
REEP1,-0.7,-0.8,-1.2,-0.7
ATP11A,0.6,0.3,0.4,-0.4
POLR1A,-0.1,-0.1,0.2,
LAPTM4A,0.8,0.7,0.6,0.6
TTC7A,0.4,1.2,0.3,
IP6K2,-0.2,-0.5,-0.2,0.7
SRBD1,1.2,1.2,1.3,1.2
KIF2A,,,,0.2
RASGRP2,-0.6,-0.2,-0.4,-0.3
PSME4,-0.7,-0.3,-0.1,0.3
IFT80,-0.4,0.5,-0.2,-0.3
SIRT2,0.3,-0.5,-0.2,-0.9
ERLEC1,-0.1,-0.3,-0.1,-0.5
PPP2R5B,-1.2,-1.2,-1.2,-0.8
PYGM,-2.1,0.2,-1.8,-1.7
PITX1,-0.5,-0.5,-0.3,-0.4
TRPC7,0.4,0.3,0.5,0.3
MAST4,-1.1,-1.0,-1.2,-2.2
ADGRF5,0.4,,0.1,-0.6
SDK2,-0.2,1.4,-0.5,0.3
ADAM7,0.3,0.3,0.3,0.3
NUP133,0.3,0.7,0.7,0.8
NUCKS1,,,-0.2,
DNAJA2,-0.1,-0.2,-0.1,-0.3
BCL3,0.8,0.7,0.5,-0.5
KCNAB2,-2.4,-2.6,-2.3,-2.1
ABCC9,-0.2,0.7,0.4,0.3
GAL,0.2,0.5,0.6,0.5
CLEC2D,1.0,0.8,0.9,0.7
FUNDC1,-0.1,0.1,0.2,0.1
MAOB,1.2,1.3,0.3,-2.0
RORA,-0.9,-1.1,-1.6,-1.3
DRD4,-0.2,0.4,-0.2,
TGFBR3,0.2,0.9,-0.6,-0.1
HES2,-0.3,-0.2,-0.2,0.1
ATP1B3,0.4,-0.1,0.4,0.2
NEDD4,1.8,0.5,1.5,0.1
PIGB,0.7,0.9,0.5,-0.1
MAPK6,-0.6,-0.6,-0.5,0.4
GNB5,-1.9,-2.0,-2.1,-1.4
RAB27A,1.5,1.0,1.0,0.4
HDHD5,0.3,-0.2,0.4,0.9
UFD1,0.4,0.1,0.5,0.5
LRP6,0.8,0.8,0.8,0.8
GUCY2C,,-0.1,-0.1,
SCT,-0.7,-0.4,-0.8,-0.6
PHRF1,-0.4,-0.3,-0.2,0.1
ELP1,-0.2,-0.2,0.2,0.5
NUCB2,0.8,1.1,0.7,0.6
PFN2,-0.4,,-0.4,-0.4
PTPN3,-1.5,0.5,-0.7,-0.9
SPTB,-0.5,-0.6,-0.6,-0.6
DAPP1,0.3,0.2,0.3,0.2
FGF10,-0.3,0.3,-0.2,-0.1
SLC44A1,0.7,1.6,1.5,0.7
TMEM260,0.2,0.2,0.1,1.1
SMG6,0.3,0.1,-0.1,-0.2
EXOC5,0.1,0.5,0.1,0.8
CLTCL1,-0.2,-0.1,-0.4,-0.1
FGF22,,-0.1,-0.1,
FSTL3,,0.5,,-0.4
DGCR2,0.2,-0.2,-0.3,-0.3
RNF126,0.1,0.2,0.3,0.5
MNT,-0.6,-0.4,-0.5,-0.2
ZXDC,0.3,0.7,0.6,1.1
JMJD6,0.2,0.2,0.9,0.4
POLB,-0.9,-0.8,-0.7,0.4
ST6GALNAC1,-0.3,-0.7,-0.5,-0.6
WIPI1,0.3,-0.5,,-1.4
FRMPD1,-0.3,-0.6,-0.3,
GBA2,-1.0,-1.1,-0.9,-0.4
NDST1,-0.1,,-0.5,-0.4
AP3M2,-1.4,-0.9,-1.3,-0.8
CNGB1,-0.6,-0.5,-0.5,-0.3
CHAT,0.3,0.3,0.3,0.2
PABPC1,0.3,0.2,0.3,0.4
TESK2,-0.4,-0.3,-0.5,-0.4
CFAP20,,0.1,,0.2
CSNK2A2,0.1,,0.3,0.2
PTPN21,1.2,1.3,0.6,1.4
EIF2B3,-0.3,-0.4,-0.1,0.4
CAMK2A,-2.9,-3.4,-3.0,-3.7
TCOF1,-0.5,-0.6,-0.2,-0.1
CDC42,0.3,0.1,0.2,0.3
OSBPL3,-0.3,-0.4,0.1,-0.9
EPHA8,-0.1,,-0.1,0.6
SLC12A3,-0.2,-0.2,-0.2,-0.3
RAD18,0.4,0.3,0.9,0.8
ATP2B1,-1.5,-1.9,-1.7,-0.5
TRPM5,-0.2,-0.2,-0.2,-0.1
NCK2,-0.3,-0.5,-0.3,0.2
MAP4K4,0.3,0.1,0.4,0.8
MGAT4A,-0.5,-1.3,-0.8,-1.2
RPL31,,,0.1,0.2
WDR1,0.7,0.6,0.7,-0.2
SNX13,0.3,,-0.1,-0.1
MS4A12,,0.1,0.1,
ARHGAP10,-0.1,-0.6,-0.6,-0.7
RPS6KA2,,-0.9,-0.8,-2.1
ING3,,-0.2,0.2,0.4
VASH1,0.2,-0.3,,0.1
LMCD1,1.5,0.6,0.7,-0.4
BUD23,0.4,0.4,0.8,0.6
SEL1L,0.3,-0.3,-0.3,-0.5
TRIP13,-0.7,-0.2,1.1,1.5
ATP6AP1,0.1,-0.4,-0.2,-0.5
TCF3,0.5,0.9,1.2,1.6
TRIB2,1.3,-0.5,1.5,0.7
DAZAP1,-0.3,-0.3,,0.4
MBD3,,-0.1,,
PRLH,-0.5,-0.5,-0.4,-0.3
HLTF,0.2,0.2,0.3,1.0
FAM50A,-0.2,-0.7,0.1,0.2
FAM3A,0.1,-0.1,-0.1,-0.3
CPSF1,0.1,0.3,0.1,0.2
MYO3B,,,0.1,0.1
CYBRD1,0.2,0.7,,-1.6
CDH19,1.9,-0.5,-0.1,-0.7
PDCD2,0.3,-0.1,0.4,0.1
SLC6A15,-3.8,-2.4,-2.7,0.1
RDH11,0.7,,0.2,-0.1
PRKACA,-0.1,-0.3,-0.2,-0.7
ADGRL1,-0.7,-1.3,-1.3,-1.2
SPP2,0.2,0.1,0.2,0.2
ACTN1,0.9,0.7,0.6,-0.2
ZFYVE26,0.2,-0.3,-0.1,-0.1
RPS6KA6,-1.1,-0.6,-1.3,-0.2
EPN2,1.6,-0.4,0.2,-0.4
PTPN18,0.6,0.2,0.4,0.2
LIMS2,0.1,-0.2,-0.4,-0.6
ASIC4,1.1,-0.7,,-0.9
SPEG,-0.6,0.1,-0.5,-1.0
LNX1,-0.9,-3.1,-1.2,-2.5
ALDH3A2,0.1,0.4,-0.1,-0.2
TFRC,-1.2,-0.4,-0.1,-0.1
SREBF1,0.2,0.1,,-0.2
TRPC5,-0.3,-0.3,-0.2,0.3
AFF4,0.3,0.2,0.3,0.8
UBE2D1,0.6,0.1,0.3,0.8
MPP5,0.2,0.1,-0.4,-1.1
RHOBTB1,0.5,1.5,0.7,1.5
SMC1A,1.0,1.6,1.6,1.8
MARK2,-0.7,-0.5,-0.8,-0.4
HMMR,0.9,1.7,2.8,2.7
CHFR,0.2,,0.6,0.4
TRHDE,-2.0,-4.1,-3.7,-2.6
P4HA2,-0.5,0.9,0.3,-0.4
FCGR2B,0.7,0.5,1.0,-0.3
NFATC3,0.5,0.8,0.7,0.9
TRNT1,0.1,-0.3,0.4,-0.1
ACADVL,-0.1,0.4,-0.2,-0.5
STK10,1.0,0.1,0.7,-0.3
FBXW11,-0.2,-0.2,-0.2,-0.3
ACAP1,-0.3,0.2,-0.4,-0.7
CRMP1,-0.7,-1.2,-0.6,0.8
DERL2,0.5,0.7,0.6,
SIDT1,-1.7,0.1,-2.0,-2.6
NDE1,-0.3,-0.2,0.2,-0.2
IRAG1,-1.7,-1.4,-1.6,-2.1
TMEM38A,-1.8,-1.5,-1.5,-2.1
AP1M1,0.1,0.2,0.4,0.2
PVR,-0.5,-1.0,-0.7,-1.0
XRCC1,,0.4,0.2,0.6
SCARB1,0.3,-0.4,0.4,-0.7
CYP2W1,-0.6,-0.6,-0.7,-0.4
MCM2,0.8,1.7,2.5,3.3
MOV10L1,-0.1,-0.3,-0.2,-0.3
PANX2,-0.3,-0.2,-0.4,-0.4
SELENOO,-0.4,-0.4,-0.4,-0.2
TP63,-0.1,-0.1,-0.1,-0.2
ALPK1,0.5,1.2,0.6,0.4
LLGL2,-0.8,,-0.4,-0.2
PDE8A,0.1,0.4,0.2,-0.4
CLCN4,-2.2,-2.7,-2.6,-1.2
NLE1,0.3,0.1,0.3,0.7
FNDC8,,-0.1,-0.1,-0.2
GSDMB,-1.1,-1.1,-0.8,-0.1
KDM5A,0.5,0.6,0.7,0.6
ADAM11,-2.6,-2.3,-2.1,-1.4
PPP2R3A,0.2,0.5,0.1,0.8
FERMT2,0.9,0.3,0.5,-0.2
ABCB11,-0.3,0.6,-0.2,-0.2
DHRS9,0.6,,0.4,-0.2
CD5L,0.1,,0.2,0.2
PTGS2,-0.7,-1.3,-1.4,-2.4
IGF2BP2,2.0,0.7,1.2,-0.7
MAP3K13,,0.5,0.1,-0.2
ST6GAL1,1.5,0.7,0.7,0.8
TBX21,0.3,0.2,0.3,0.5
FRY,-0.6,-2.3,-1.6,-1.0
PICALM,0.4,0.1,0.1,-0.2
NSF,-1.8,-2.8,-2.0,-2.0
GLI2,0.3,1.9,0.8,1.9
CLASP1,-0.4,-0.8,-0.5,0.1
MRPS34,-0.3,-0.2,,
NOTCH3,0.9,0.5,0.9,-0.3
CLNS1A,0.2,0.7,0.5,0.4
PPP2R2C,-6.0,-2.7,-4.1,-2.0
